job_id,method,organ,views,status,psnr_2d,ssim_2d,eval_path,output_dir,source,finished_at
CoRGS__abdomen__3views,CoRGS,abdomen,3,completed,29.355186462402344,0.9381062388420105,/root/experiments/results/CORGS/abdomen_3views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/abdomen_3views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__abdomen__6views,CoRGS,abdomen,6,completed,33.655189514160156,0.9733829498291016,/root/experiments/results/CORGS/abdomen_6views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/abdomen_6views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__abdomen__9views,CoRGS,abdomen,9,completed,36.43008804321289,0.9812979698181152,/root/experiments/results/CORGS/abdomen_9views/test/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/abdomen_9views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__chest__3views,CoRGS,chest,3,completed,26.443666458129883,0.8406950235366821,/root/experiments/results/CORGS/chest_3views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/chest_3views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__chest__6views,CoRGS,chest,6,completed,33.34621810913086,0.927467405796051,/root/experiments/results/CORGS/chest_6views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/chest_6views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__chest__9views,CoRGS,chest,9,completed,36.19590759277344,0.9527392387390137,/root/experiments/results/CORGS/chest_9views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/chest_9views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__foot__3views,CoRGS,foot,3,completed,27.97869110107422,0.893648087978363,/root/experiments/results/CORGS/foot_3views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/foot_3views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__foot__6views,CoRGS,foot,6,completed,31.525381088256836,0.9371159076690674,/root/experiments/results/CORGS/foot_6views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/foot_6views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__foot__9views,CoRGS,foot,9,completed,34.19883728027344,0.9538306593894958,/root/experiments/results/CORGS/foot_9views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/foot_9views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__head__3views,CoRGS,head,3,completed,26.998767852783203,0.9299360513687134,/root/experiments/results/CORGS/head_3views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/head_3views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__head__6views,CoRGS,head,6,completed,32.665687561035156,0.971422553062439,/root/experiments/results/CORGS/head_6views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/head_6views,bootstrap_csv,2026-03-24T00:32:26Z
